"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1471",5594,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",5,NA,1,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Ross.Slate2|Risen|Zaval|Zhong|Hsee|Hauser|Knobe|Shafir|Schwarz|Norenzayan|Tversky.Gati|Savani|Gray|Tversky","ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE",3,"Global","all",TRUE
"1472",5602,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",3,NA,2,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Risen|Ross.Slate2|Geissner|Norenzayan|Hauser|Hsee|Savani|Zhong|Tversky|Shafir|Schwarz|Tversky.Gati|Knobe|Gray","ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five",2,"Global","all",TRUE
"1473",5607,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",4,NA,2,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Schwarz|Norenzayan|Tversky.Gati|Hsee|Shafir|Ross.Slate2|Hauser|Knobe|Risen|Geissner|Tversky|Zaval|Gray|Zhong","ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE",10,"Global","all",TRUE
"1475",5610,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",6,NA,1,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Schwarz|Hauser|Ross.Slate2|Knobe|Risen|Hsee|Geissner|Zaval|Shafir|Gray|Tversky|Norenzayan|Zhong|Tversky.Gati","ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five",6,"Global","all",TRUE
"1476",5611,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",7,NA,1,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Geissner|Norenzayan|Ross.Slate2|Knobe|Shafir|Tversky.Gati|Hsee|Gray|Hauser|Zaval|Schwarz|Risen|Zhong|Savani","ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five",13,"Global","all",TRUE
"1477",5612,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",2,NA,2,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Gray|Savani|Schwarz|Shafir|Zhong|Knobe|Norenzayan|Tversky|Geissner|Ross.Slate2|Hsee|Risen|Zaval|Tversky.Gati","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood",13,"Global","all",TRUE
"1480",5620,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",2,NA,1,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Norenzayan|Hauser|Zhong|Hsee|Gray|Tversky.Gati|Shafir|Knobe|Geissner|Ross.Slate2|Risen|Tversky|Schwarz|Zaval","ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five",12,"Global","all",TRUE
"1481",5622,10,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",10,NA,2,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Tversky.Gati|Tversky|Hsee|Zaval|Geissner|Norenzayan|Ross.Slate2|Gray|Zhong|Knobe|Shafir|Schwarz|Savani|Risen","ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five",15,"Global","all",TRUE
"1482",5623,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",4,NA,2,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Shafir|Savani|Zaval|Schwarz|Norenzayan|Geissner|Zhong|Ross.Slate2|Tversky|Hauser|Tversky.Gati|Risen|Knobe|Hsee","ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE",13,"Global","all",TRUE
"1484",5625,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","csunorthonline",5,NA,2,"csunorthonline","csunorthonline","csunorthonline","USA","Department of Psychology, California State University, Northridge, Northridge, CA 91330","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Hauser|Zhong|Norenzayan|Knobe|Ross.Slate2|Shafir|Tversky.Gati|Tversky|Geissner|Schwarz|Gray|Hsee|Savani|Zaval","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing",1,"Global","all",TRUE
