"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1038",3809,6,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",6,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Schwarz|Risen|Hauser|Zaval|Ross.Slate2|Tversky|Zhong|Hsee|Shafir|Norenzayan|Geissner|Savani|Knobe|Tversky.Gati","ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE",3,"Global","all",TRUE
"1039",3810,3,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",3,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Schwarz|Knobe|Tversky.Gati|Hauser|Risen|Hsee|Zaval|Zhong|Savani|Tversky|Geissner|Ross.Slate2|Gray|Norenzayan","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing",6,"Global","all",TRUE
"1040",3814,7,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",7,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Knobe|Schwarz|Geissner|Hauser|Gray|Risen|Shafir|Tversky.Gati|Tversky|Ross.Slate2|Zhong|Hsee|Norenzayan|Savani","ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood",7,"Global","all",TRUE
"1041",3815,3,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",3,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Hauser|Risen|Norenzayan|Ross.Slate2|Shafir|Schwarz|Tversky.Gati|Zhong|Tversky|Savani|Zaval|Hsee|Knobe|Geissner","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",3,"Global","all",TRUE
"1042",3816,6,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",6,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Schwarz|Shafir|Hauser|Knobe|Tversky.Gati|Zaval|Tversky|Ross.Slate2|Gray|Hsee|Zhong|Geissner|Risen|Savani","ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection",14,"Global","all",TRUE
"1043",3818,7,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",7,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Savani|Hauser|Norenzayan|Zaval|Hsee|Ross.Slate2|Geissner|Schwarz|Zhong|Shafir|Tversky|Tversky.Gati|Gray|Knobe","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection",1,"Global","all",TRUE
"1044",3821,2,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",2,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Tversky.Gati|Schwarz|Zhong|Ross.Slate2|Geissner|Hauser|Zaval|Gray|Shafir|Norenzayan|Knobe|Savani|Hsee|Risen","ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection",15,"Global","all",TRUE
"1045",3822,2,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",2,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Gray|Norenzayan|Zaval|Tversky.Gati|Geissner|Ross.Slate2|Risen|Schwarz|Savani|Zhong|Hsee|Hauser|Shafir|Tversky","ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE",8,"Global","all",TRUE
"1046",3824,1,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",1,NA,1,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Schwarz|Hsee|Tversky|Tversky.Gati|Risen|Gray|Ross.Slate2|Savani|Norenzayan|Hauser|Knobe|Geissner|Zaval|Shafir","ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE",6,"Global","all",TRUE
"1047",3826,7,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",7,NA,NA,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Hsee|Schwarz|Risen|Savani|Gray|Norenzayan|Shafir|Hauser|Tversky.Gati|Knobe|Tversky|Zhong|Zaval|Ross.Slate2","ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE",4,"Global","all",TRUE
"1048",3827,3,"Unprepared","ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv","hawaiion",3,NA,2,"hawaiion","hawaiion","hawaiion","USA","University of Hawaii, Honolulu, HI","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Shafir|Zhong|Hauser|Schwarz|Savani|Knobe|Tversky|Norenzayan|Gray|Hsee|Risen|Tversky.Gati|Geissner|Ross.Slate2","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood",12,"Global","all",TRUE
