"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"589",2328,3,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",3,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Tversky.Gati|Shafir|Ross.Slate2|Tversky|Hsee|Risen|Norenzayan|Savani|Zaval|Hauser|Knobe|Zhong|Schwarz|Gray","ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing",7,"Global","all",TRUE
"590",2329,1,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",1,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Geissner|Zhong|Savani|Risen|Hauser|Norenzayan|Shafir|Ross.Slate2|Hsee|Knobe|Schwarz|Tversky.Gati|Zaval|Gray","ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five",5,"Global","all",TRUE
"591",2331,5,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",5,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Risen|Knobe|Shafir|Norenzayan|Gray|Geissner|Zaval|Tversky|Hauser|Ross.Slate2|Zhong|Hsee|Savani|Schwarz","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood",2,"Global","all",TRUE
"592",2334,7,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",7,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Schwarz|Tversky|Zaval|Knobe|Tversky.Gati|Shafir|Hauser|Risen|Zhong|Gray|Hsee|Ross.Slate2|Savani|Geissner","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood",9,"Global","all",TRUE
"593",2335,4,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",4,NA,1,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Knobe|Norenzayan|Hauser|Zhong|Geissner|Savani|Hsee|Zaval|Shafir|Tversky.Gati|Tversky|Ross.Slate2|Schwarz|Gray","ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five",1,"Global","all",TRUE
"594",2337,7,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",7,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Geissner|Gray|Shafir|Hauser|Zaval|Ross.Slate2|Knobe|Savani|Zhong|Schwarz|Tversky.Gati|Risen|Tversky|Hsee","ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood",13,"Global","all",TRUE
"595",2339,8,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",8,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Gray|Norenzayan|Savani|Risen|Zaval|Schwarz|Knobe|Zhong|Tversky.Gati|Hauser|Hsee|Geissner|Ross.Slate2|Tversky","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood",5,"Global","all",TRUE
"596",2342,4,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",4,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Schwarz|Hauser|Gray|Risen|Ross.Slate2|Knobe|Zhong|Tversky|Norenzayan|Savani|Tversky.Gati|Hsee|Geissner|Shafir","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood",5,"Global","all",TRUE
"597",2343,8,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",8,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Norenzayan|Zhong|Zaval|Risen|Knobe|Savani|Ross.Slate2|Tversky.Gati|Schwarz|Geissner|Hsee|Shafir|Hauser|Tversky","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection",5,"Global","all",TRUE
"598",2347,10,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",10,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Zhong|Gray|Knobe|Ross.Slate2|Norenzayan|Geissner|Schwarz|Shafir|Risen|Hauser|Hsee|Savani|Tversky|Zaval","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",10,"Global","all",TRUE
"599",2352,2,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",2,NA,1,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Zhong|Hsee|Risen|Norenzayan|Tversky|Savani|Schwarz|Zaval|Hauser|Gray|Tversky.Gati|Shafir|Geissner|Ross.Slate2","ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood",4,"Global","all",TRUE
"600",2353,1,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",1,NA,1,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Norenzayan|Tversky.Gati|Tversky|Risen|Zaval|Hauser|Shafir|Geissner|Zhong|Savani|Schwarz|Knobe|Gray|Hsee","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",5,"Global","all",TRUE
"601",2363,7,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",7,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Hsee|Zhong|Tversky|Shafir|Knobe|Hauser|Risen|Geissner|Tversky.Gati|Gray|Ross.Slate2|Savani|Zaval|Schwarz","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection",8,"Global","all",TRUE
"602",2365,3,"Unprepared","ML2_Slate2_Polish_r.csv","krakowon",3,NA,2,"krakowon","krakowon","krakowon","Poland","Jagiellonian University, Kraków, Poland","Polish",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Shafir|Ross.Slate2|Zaval|Hsee|Geissner|Schwarz|Risen|Gray|Knobe|Hauser|Zhong|Tversky|Savani|Tversky.Gati","ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection",8,"Global","all",TRUE
