"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"333",810,8,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",8,NA,1,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Hauser|Savani|Zhong|Geissner|Zaval|Tversky.Gati|Risen|Norenzayan|Ross.Slate2|Shafir|Knobe|Hsee|Gray|Schwarz","ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood",8,"Global","all",TRUE
"334",812,5,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",5,NA,2,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Tversky.Gati|Knobe|Hauser|Zaval|Savani|Tversky|Risen|Hsee|Schwarz|Gray|Zhong|Shafir|Norenzayan|Geissner","ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE",8,"Global","all",TRUE
"335",814,5,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",5,NA,1,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Norenzayan|Zhong|Savani|Tversky.Gati|Gray|Hsee|Risen|Schwarz|Zaval|Knobe|Geissner|Ross.Slate2|Shafir|Hauser","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",8,"Global","all",TRUE
"336",815,2,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",2,NA,1,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Hsee|Norenzayan|Schwarz|Shafir|Gray|Tversky|Knobe|Ross.Slate2|Tversky.Gati|Zaval|Risen|Savani|Zhong|Geissner","ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five",12,"Global","all",TRUE
"337",816,2,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",2,NA,2,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Norenzayan|Shafir|Hauser|Knobe|Tversky|Tversky.Gati|Schwarz|Zaval|Hsee|Zhong|Savani|Geissner|Gray|Risen","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five",15,"Global","all",TRUE
"338",817,9,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",9,NA,1,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Schwarz|Geissner|Savani|Tversky|Hsee|Knobe|Zhong|Shafir|Norenzayan|Gray|Tversky.Gati|Hauser|Zaval|Risen","ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing",15,"Global","all",TRUE
"339",824,2,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",2,NA,1,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Norenzayan|Zhong|Tversky|Gray|Zaval|Savani|Shafir|Tversky.Gati|Risen|Knobe|Hauser|Schwarz|Geissner|Ross.Slate2","ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection",10,"Global","all",TRUE
"340",833,10,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",10,NA,2,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Risen|Tversky|Zaval|Savani|Zhong|Gray|Shafir|Geissner|Hsee|Norenzayan|Hauser|Tversky.Gati|Knobe|Ross.Slate2","ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five",2,"Global","all",TRUE
"341",835,2,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",2,NA,1,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Savani|Schwarz|Risen|Knobe|Ross.Slate2|Tversky.Gati|Zaval|Hsee|Shafir|Geissner|Hauser|Tversky|Zhong|Norenzayan","ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE",4,"Global","all",TRUE
"342",839,1,"Unprepared","ML2_Slate2_French_Inlab_DEPLOY__Belgium_r.csv","louvain",1,NA,1,"louvain","louvain","louvain","Belgium","Université catholique de Louvain, campus in Mons, Belgium","French",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Tversky|Hauser|Schwarz|Tversky.Gati|Gray|Hsee|Shafir|Ross.Slate2|Geissner|Zaval|Risen|Savani|Knobe|Norenzayan","ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five",12,"Global","all",TRUE
