"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1448",5523,8,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",8,NA,2,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Shafir|Gray|Schwarz|Norenzayan|Zaval|Savani|Hsee|Risen|Geissner|Knobe|Zhong|Tversky.Gati|Hauser|Tversky","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE",9,"Global","all",TRUE
"1449",5528,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",2,NA,1,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Zaval|Norenzayan|Risen|Savani|Hsee|Schwarz|Knobe|Gray|Shafir|Geissner|Hauser|Zhong|Tversky|Tversky.Gati","ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection",4,"Global","all",TRUE
"1450",5529,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",3,NA,2,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Norenzayan|Shafir|Zhong|Tversky|Savani|Hauser|Gray|Hsee|Geissner|Schwarz|Zaval|Knobe|Risen|Ross.Slate2","ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood",14,"Global","all",TRUE
"1451",5530,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",6,NA,1,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Gray|Knobe|Hsee|Tversky|Tversky.Gati|Shafir|Norenzayan|Zhong|Geissner|Savani|Ross.Slate2|Zaval|Risen|Hauser","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection",14,"Global","all",TRUE
"1456",5538,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",2,NA,2,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Geissner|Risen|Knobe|Ross.Slate2|Schwarz|Tversky.Gati|Shafir|Zaval|Zhong|Norenzayan|Hauser|Hsee|Tversky|Savani","ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing",3,"Global","all",TRUE
"1458",5540,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",7,NA,2,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Zaval|Tversky.Gati|Hsee|Zhong|Ross.Slate2|Savani|Risen|Gray|Knobe|Shafir|Norenzayan|Schwarz|Geissner|Hauser","ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five",8,"Global","all",TRUE
"1470",5580,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",2,NA,2,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Shafir|Tversky|Schwarz|Ross.Slate2|Risen|Geissner|Zaval|Norenzayan|Gray|Knobe|Zhong|Savani|Hsee|Hauser","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood",6,"Global","all",TRUE
"1502",5672,10,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",10,NA,1,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Ross.Slate2|Geissner|Tversky.Gati|Risen|Zaval|Zhong|Shafir|Schwarz|Hsee|Norenzayan|Hauser|Knobe|Tversky|Savani","ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE",5,"Global","all",TRUE
"1505",5675,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",2,NA,2,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Tversky|Schwarz|Hsee|Hauser|Norenzayan|Zhong|Zaval|Geissner|Gray|Savani|Tversky.Gati|Risen|Shafir|Ross.Slate2","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood",13,"Global","all",TRUE
"1506",5677,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","loyola",4,NA,2,"loyola","loyola","loyola","USA","Department of Psychology, Loyola University Chicago, Chicago, IL 60626","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Tversky|Ross.Slate2|Zaval|Schwarz|Gray|Zhong|Hauser|Norenzayan|Knobe|Shafir|Savani|Tversky.Gati|Risen|Hsee","ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood",14,"Global","all",TRUE
