"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"980",3697,9,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",9,NA,2,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Hauser|Zhong|Gray|Schwarz|Zaval|Hsee|Tversky|Shafir|Savani|Tversky.Gati|Risen|Ross.Slate2|Knobe|Geissner","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood",12,"Global","all",TRUE
"981",3698,3,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",3,NA,2,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Knobe|Savani|Tversky|Zaval|Gray|Zhong|Hsee|Geissner|Schwarz|Risen|Norenzayan|Tversky.Gati|Shafir|Ross.Slate2","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",11,"Global","all",TRUE
"982",3700,3,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",3,NA,1,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Tversky.Gati|Norenzayan|Knobe|Schwarz|Geissner|Zhong|Gray|Savani|Shafir|Risen|Zaval|Ross.Slate2|Hsee|Tversky","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE",11,"Global","all",TRUE
"983",3704,1,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",1,NA,2,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Risen|Zaval|Schwarz|Shafir|Gray|Hsee|Ross.Slate2|Hauser|Tversky|Geissner|Savani|Zhong|Knobe|Tversky.Gati","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood",2,"Global","all",TRUE
"984",3707,5,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",5,NA,2,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Zaval|Gray|Tversky.Gati|Norenzayan|Tversky|Shafir|Knobe|Hauser|Hsee|Risen|Savani|Schwarz|Ross.Slate2|Zhong","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing",11,"Global","all",TRUE
"985",3710,3,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",3,NA,1,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Zhong|Hsee|Knobe|Norenzayan|Zaval|Ross.Slate2|Tversky.Gati|Gray|Geissner|Hauser|Risen|Savani|Tversky|Schwarz","ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE",12,"Global","all",TRUE
"986",3712,3,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",3,NA,2,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Tversky|Savani|Tversky.Gati|Hsee|Zaval|Norenzayan|Hauser|Gray|Schwarz|Geissner|Ross.Slate2|Shafir|Risen|Knobe","ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing",14,"Global","all",TRUE
"987",3716,2,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",2,NA,1,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Risen|Savani|Hsee|Tversky|Zaval|Schwarz|Zhong|Knobe|Gray|Tversky.Gati|Hauser|Geissner|Ross.Slate2|Norenzayan","ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection",2,"Global","all",TRUE
"988",3717,5,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",5,NA,2,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Knobe|Hauser|Zaval|Hsee|Ross.Slate2|Tversky|Geissner|Zhong|Tversky.Gati|Schwarz|Risen|Shafir|Gray|Norenzayan","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood",12,"Global","all",TRUE
"989",3718,6,"Unprepared","ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv","lse",6,NA,1,"lse","lse","lse","UK","Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Hsee|Tversky|Norenzayan|Shafir|Knobe|Zhong|Risen|Hauser|Ross.Slate2|Savani|Tversky.Gati|Geissner|Zaval|Schwarz","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five",8,"Global","all",TRUE
