"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"149",305,1,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",1,NA,2,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Hsee|Risen|Zhong|Tversky|Norenzayan|Schwarz|Knobe|Geissner|Savani|Gray|Hauser|Shafir|Tversky.Gati|Ross.Slate2","ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing",3,"Global","all",TRUE
"150",308,2,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",2,NA,2,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Hsee|Tversky.Gati|Savani|Zhong|Schwarz|Hauser|Risen|Tversky|Geissner|Shafir|Zaval|Knobe|Ross.Slate2|Norenzayan","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood",8,"Global","all",TRUE
"151",311,6,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",6,NA,2,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Tversky.Gati|Schwarz|Hsee|Ross.Slate2|Gray|Norenzayan|Geissner|Knobe|Zhong|Zaval|Savani|Risen|Hauser|Tversky","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing",13,"Global","all",TRUE
"152",312,2,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",2,NA,1,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Hauser|Shafir|Gray|Ross.Slate2|Norenzayan|Schwarz|Zhong|Hsee|Risen|Tversky|Zaval|Knobe|Savani|Geissner","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood",10,"Global","all",TRUE
"153",313,2,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",2,NA,2,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Tversky.Gati|Norenzayan|Gray|Tversky|Zhong|Hauser|Schwarz|Geissner|Shafir|Knobe|Zaval|Hsee|Savani|Ross.Slate2","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection",1,"Global","all",TRUE
"154",315,5,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",5,NA,1,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Savani|Ross.Slate2|Zaval|Hsee|Tversky|Zhong|Tversky.Gati|Geissner|Shafir|Norenzayan|Schwarz|Hauser|Risen|Gray","ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection",14,"Global","all",TRUE
"155",316,3,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",3,NA,2,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Savani|Shafir|Knobe|Ross.Slate2|Gray|Hsee|Risen|Norenzayan|Geissner|Zhong|Tversky.Gati|Tversky|Zaval|Schwarz","ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five",8,"Global","all",TRUE
"156",317,3,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",3,NA,1,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Hsee|Tversky.Gati|Geissner|Gray|Ross.Slate2|Shafir|Knobe|Norenzayan|Zaval|Savani|Risen|Schwarz|Hauser|Tversky","ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing",12,"Global","all",TRUE
"157",318,7,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",7,NA,2,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Zhong|Hauser|Tversky|Norenzayan|Gray|Risen|Hsee|Knobe|Zaval|Savani|Ross.Slate2|Tversky.Gati|Shafir|Geissner","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five",7,"Global","all",TRUE
"158",321,3,"Unprepared","ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv","seznamon",3,NA,2,"seznamon","seznamon","seznamon","Czech Republic","Department of Psychology, Charles University, Prague, Czech Republic","Czech",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Shafir|Risen|Gray|Ross.Slate2|Savani|Zaval|Hsee|Norenzayan|Knobe|Tversky|Hauser|Geissner|Schwarz|Zhong","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood",3,"Global","all",TRUE
