"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"202",425,5,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",5,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Shafir|Geissner|Gray|Knobe|Norenzayan|Ross.Slate2|Tversky.Gati|Schwarz|Zaval|Hsee|Risen|Savani|Zhong|Hauser","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing",12,"Global","all",TRUE
"203",426,1,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",1,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Shafir|Tversky.Gati|Ross.Slate2|Zaval|Zhong|Geissner|Schwarz|Hauser|Risen|Tversky|Knobe|Gray|Hsee|Norenzayan","ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection",10,"Global","all",TRUE
"204",428,3,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",3,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Savani|Ross.Slate2|Zhong|Gray|Zaval|Geissner|Norenzayan|Hsee|Tversky.Gati|Risen|Tversky|Knobe|Hauser|Schwarz","ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing",11,"Global","all",TRUE
"205",431,2,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",2,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Norenzayan|Risen|Hsee|Geissner|Schwarz|Knobe|Tversky.Gati|Zaval|Zhong|Hauser|Savani|Tversky|Gray|Ross.Slate2","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood",3,"Global","all",TRUE
"206",434,4,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",4,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Gray|Geissner|Zhong|Knobe|Hsee|Norenzayan|Ross.Slate2|Savani|Tversky.Gati|Zaval|Schwarz|Risen|Hauser|Tversky","ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE",13,"Global","all",TRUE
"207",435,4,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",4,NA,1,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Tversky.Gati|Savani|Tversky|Schwarz|Norenzayan|Zhong|Risen|Zaval|Knobe|Ross.Slate2|Hauser|Gray|Shafir|Hsee","ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE",8,"Global","all",TRUE
"208",440,3,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",3,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Tversky|Schwarz|Tversky.Gati|Shafir|Hauser|Knobe|Savani|Gray|Zhong|Geissner|Zaval|Hsee|Norenzayan|Ross.Slate2","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five",1,"Global","all",TRUE
"209",441,1,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",1,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Schwarz|Tversky|Geissner|Ross.Slate2|Tversky.Gati|Zhong|Risen|Gray|Zaval|Savani|Shafir|Knobe|Hsee|Hauser","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood",8,"Global","all",TRUE
"210",445,2,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",2,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Zhong|Tversky.Gati|Risen|Shafir|Hauser|Zaval|Knobe|Tversky|Ross.Slate2|Norenzayan|Schwarz|Hsee|Savani|Geissner","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection",4,"Global","all",TRUE
"211",451,2,"Unprepared","ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv","tilburg",2,NA,2,"tilburg","tilburg","tilburg","The Netherlands","Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands","Dutch",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Risen|Norenzayan|Zaval|Tversky.Gati|Shafir|Hauser|Hsee|Zhong|Geissner|Tversky|Gray|Knobe|Savani|Ross.Slate2","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection",2,"Global","all",TRUE
