"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1415",5450,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",3,NA,2,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Risen|Knobe|Gray|Ross.Slate2|Tversky.Gati|Hsee|Hauser|Norenzayan|Savani|Schwarz|Shafir|Geissner|Tversky|Zaval","ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing",2,"Global","all",TRUE
"1425",5474,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",2,NA,2,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Savani|Schwarz|Gray|Tversky|Zaval|Shafir|Geissner|Ross.Slate2|Risen|Tversky.Gati|Norenzayan|Zhong|Knobe|Hauser","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood",10,"Global","all",TRUE
"1433",5491,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",6,NA,1,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Schwarz|Tversky|Gray|Zhong|Ross.Slate2|Savani|Zaval|Shafir|Tversky.Gati|Geissner|Hsee|Risen|Norenzayan|Hauser","ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection",13,"Global","all",TRUE
"1434",5493,1,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",1,NA,2,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Zhong|Hauser|Ross.Slate2|Zaval|Geissner|Schwarz|Gray|Tversky|Hsee|Tversky.Gati|Knobe|Savani|Risen|Shafir","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection",14,"Global","all",TRUE
"1435",5494,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",7,NA,2,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Zaval|Knobe|Hsee|Tversky|Savani|Shafir|Geissner|Zhong|Norenzayan|Ross.Slate2|Tversky.Gati|Hauser|Gray|Schwarz","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five",1,"Global","all",TRUE
"1436",5495,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",6,NA,2,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Risen|Schwarz|Savani|Hauser|Gray|Tversky.Gati|Zhong|Norenzayan|Geissner|Tversky|Knobe|Shafir|Ross.Slate2|Hsee","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood",2,"Global","all",TRUE
"1441",5505,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",2,NA,2,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Geissner|Tversky.Gati|Gray|Zaval|Risen|Schwarz|Norenzayan|Hauser|Zhong|Tversky|Savani|Knobe|Shafir|Hsee","ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five",6,"Global","all",TRUE
"1453",5533,1,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",1,NA,2,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Hsee|Gray|Zaval|Tversky|Ross.Slate2|Tversky.Gati|Zhong|Hauser|Knobe|Risen|Savani|Geissner|Schwarz|Shafir","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing",11,"Global","all",TRUE
"1454",5535,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",2,NA,1,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Tversky.Gati|Tversky|Schwarz|Hauser|Hsee|Risen|Shafir|Geissner|Zaval|Gray|Norenzayan|Knobe|Ross.Slate2|Savani","ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection",7,"Global","all",TRUE
"1551",5759,1,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","umich",1,NA,2,"umich","umich","umich","USA","University of Michigan","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Hsee|Savani|Schwarz|Risen|Knobe|Zaval|Norenzayan|Zhong|Gray|Tversky|Hauser|Ross.Slate2|Tversky.Gati|Geissner","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five",5,"Global","all",TRUE
