"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1",2,3,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",3,NA,3,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Zhong|Hauser|Tversky|Gray|Risen|Schwarz|Norenzayan|Knobe|Ross.Slate2|Zaval|Savani|Geissner|Tversky.Gati|Shafir","ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five",6,"Global","all",TRUE
"2",3,2,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",2,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Hsee|Knobe|Tversky.Gati|Norenzayan|Shafir|Risen|Ross.Slate2|Savani|Tversky|Geissner|Schwarz|Gray|Zaval|Hauser","ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE",7,"Global","all",TRUE
"3",4,2,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",2,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Risen|Norenzayan|Zaval|Tversky|Geissner|Ross.Slate2|Gray|Savani|Knobe|Hsee|Zhong|Tversky.Gati|Hauser|Shafir","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood",2,"Global","all",TRUE
"4",6,2,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",2,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Savani|Ross.Slate2|Hsee|Zaval|Geissner|Tversky|Shafir|Schwarz|Norenzayan|Tversky.Gati|Gray|Knobe|Zhong|Risen","ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five",15,"Global","all",TRUE
"5",9,7,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",7,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Gray|Hauser|Tversky|Zhong|Risen|Savani|Knobe|Shafir|Norenzayan|Geissner|Hsee|Tversky.Gati|Ross.Slate2|Zaval","ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing",6,"Global","all",TRUE
"6",10,6,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",6,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Geissner|Hauser|Zaval|Savani|Ross.Slate2|Schwarz|Tversky.Gati|Shafir|Knobe|Zhong|Gray|Hsee|Risen|Tversky","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood",14,"Global","all",TRUE
"7",11,3,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",3,NA,1,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Zhong|Ross.Slate2|Tversky.Gati|Schwarz|Risen|Gray|Hsee|Savani|Geissner|Tversky|Shafir|Hauser|Norenzayan|Knobe","ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE",6,"Global","all",TRUE
"8",14,4,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",4,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Ross.Slate2|Zhong|Geissner|Tversky.Gati|Schwarz|Tversky|Knobe|Gray|Zaval|Hauser|Savani|Risen|Norenzayan|Shafir","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection",13,"Global","all",TRUE
"9",15,3,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",3,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Gray|Risen|Tversky|Schwarz|Savani|Zaval|Zhong|Geissner|Tversky.Gati|Hsee|Hauser|Shafir|Ross.Slate2|Knobe","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five",3,"Global","all",TRUE
"10",16,3,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",3,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Tversky|Risen|Zhong|Zaval|Hauser|Knobe|Hsee|Gray|Geissner|Ross.Slate2|Shafir|Norenzayan|Tversky.Gati|Schwarz","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood",3,"Global","all",TRUE
"11",18,6,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",6,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Ross.Slate2|Gray|Tversky|Norenzayan|Hsee|Hauser|Tversky.Gati|Zaval|Zhong|Risen|Geissner|Knobe|Shafir|Savani","ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five",11,"Global","all",TRUE
"12",19,7,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",7,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Risen|Tversky.Gati|Tversky|Savani|Norenzayan|Shafir|Hsee|Ross.Slate2|Knobe|Gray|Zaval|Geissner|Schwarz|Zhong","ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five",2,"Global","all",TRUE
"13",24,3,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",3,NA,1,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Hsee|Tversky|Knobe|Geissner|Schwarz|Gray|Zhong|Risen|Norenzayan|Hauser|Savani|Tversky.Gati|Ross.Slate2|Zaval","ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood",9,"Global","all",TRUE
"14",25,6,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",6,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Ross.Slate2|Shafir|Geissner|Hsee|Savani|Tversky|Tversky.Gati|Zaval|Risen|Norenzayan|Schwarz|Gray|Zhong|Hauser","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing",10,"Global","all",TRUE
"15",26,5,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",5,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Zhong|Norenzayan|Knobe|Hauser|Tversky|Savani|Geissner|Hsee|Schwarz|Gray|Tversky.Gati|Zaval|Shafir|Risen","ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE",15,"Global","all",TRUE
"16",28,2,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",2,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Tversky.Gati|Shafir|Hsee|Schwarz|Knobe|Ross.Slate2|Savani|Gray|Hauser|Tversky|Zhong|Risen|Norenzayan|Zaval","ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing",13,"Global","all",TRUE
"17",31,8,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",8,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Tversky.Gati|Zhong|Knobe|Risen|Norenzayan|Ross.Slate2|Zaval|Shafir|Geissner|Savani|Tversky|Gray|Hauser|Hsee","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing",5,"Global","all",TRUE
"18",36,3,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",3,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Geissner|Tversky|Zaval|Hauser|Ross.Slate2|Norenzayan|Schwarz|Knobe|Risen|Savani|Zhong|Hsee|Shafir|Gray","ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection",10,"Global","all",TRUE
"19",39,6,"Unprepared","ML2_Slate2_AustraliaEng_online_DEPLOY__unsw_r.csv","unswonline",6,NA,2,"unswonline","unswonline","unswonline","Australia","University of New South Wales, Sydney, Australia","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Hsee|Geissner|Savani|Zaval|Knobe|Risen|Schwarz|Gray|Tversky.Gati|Shafir|Hauser|Norenzayan|Ross.Slate2|Tversky","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood",7,"Global","all",TRUE
