"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1892",6541,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",2,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Zhong|Knobe|Tversky.Gati|Zaval|Ross.Slate2|Hauser|Shafir|Savani|Schwarz|Geissner|Gray|Risen|Tversky|Norenzayan","ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five",13,"Global","all",TRUE
"1895",6549,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",2,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Zaval|Geissner|Norenzayan|Ross.Slate2|Zhong|Tversky.Gati|Savani|Shafir|Schwarz|Tversky|Knobe|Gray|Hsee|Hauser","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five",1,"Global","all",TRUE
"1896",6551,1,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",1,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Hsee|Schwarz|Geissner|Shafir|Tversky|Tversky.Gati|Savani|Zaval|Knobe|Hauser|Zhong|Ross.Slate2|Risen|Norenzayan","ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood",14,"Global","all",TRUE
"1904",6563,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",3,NA,1,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Savani|Tversky.Gati|Knobe|Geissner|Zaval|Ross.Slate2|Norenzayan|Hsee|Tversky|Hauser|Shafir|Risen|Zhong|Gray","ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five",13,"Global","all",TRUE
"1906",6567,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",5,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Gray|Knobe|Risen|Shafir|Zaval|Hauser|Norenzayan|Ross.Slate2|Geissner|Schwarz|Zhong|Tversky|Tversky.Gati|Savani","ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five",4,"Global","all",TRUE
"1907",6569,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",4,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Risen|Gray|Schwarz|Knobe|Savani|Tversky|Zhong|Geissner|Shafir|Zaval|Hsee|Norenzayan|Hauser|Ross.Slate2","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing",2,"Global","all",TRUE
"1910",6572,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",2,NA,1,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Zaval|Tversky.Gati|Gray|Knobe|Risen|Ross.Slate2|Shafir|Hsee|Savani|Geissner|Schwarz|Norenzayan|Tversky|Zhong","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five",6,"Global","all",TRUE
"1913",6580,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",7,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Hsee|Norenzayan|Shafir|Risen|Hauser|Knobe|Ross.Slate2|Geissner|Schwarz|Gray|Tversky|Tversky.Gati|Zhong|Savani","ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE",5,"Global","all",TRUE
"1916",6584,8,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",8,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Gray|Zhong|Tversky|Schwarz|Hauser|Hsee|Ross.Slate2|Norenzayan|Knobe|Risen|Savani|Tversky.Gati|Shafir|Zaval","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood",11,"Global","all",TRUE
"1917",6586,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",7,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Tversky|Savani|Tversky.Gati|Knobe|Geissner|Hauser|Zhong|Norenzayan|Shafir|Schwarz|Gray|Ross.Slate2|Zaval|Risen","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing",15,"Global","all",TRUE
"1920",6589,1,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",1,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Norenzayan|Shafir|Tversky.Gati|Savani|Hsee|Schwarz|Geissner|Gray|Risen|Hauser|Tversky|Zaval|Knobe|Zhong","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing",10,"Global","all",TRUE
"1921",6590,1,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",1,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Risen|Zhong|Knobe|Savani|Geissner|Tversky|Hauser|Ross.Slate2|Hsee|Schwarz|Gray|Norenzayan|Shafir|Tversky.Gati","ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection",2,"Global","all",TRUE
"1922",6591,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","yale",6,NA,2,"yale","yale","yale","USA","Yale University, New Haven, CT","English",1,NA,"Yes","Online (at home)","Unable to verify (completed online) but likely mostly computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Gray|Geissner|Ross.Slate2|Shafir|Hauser|Norenzayan|Hsee|Tversky|Savani|Schwarz|Tversky.Gati|Risen|Zhong|Knobe","ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing",13,"Global","all",TRUE
