Case,Condition,Response
1,High Power,1
2,High Power,1
3,High Power,1
4,High Power,1
5,High Power,1
6,High Power,1
7,High Power,1
8,High Power,1
9,High Power,1
10,High Power,1
11,High Power,1
12,High Power,1
13,High Power,1
14,High Power,1
15,High Power,1
16,High Power,1
17,High Power,1
18,High Power,1
19,High Power,1
20,High Power,1
21,High Power,1
22,High Power,1
23,High Power,1
24,High Power,1
25,High Power,1
26,High Power,1
27,High Power,1
28,High Power,1
29,High Power,1
30,High Power,1
31,High Power,1
32,High Power,1
33,High Power,1
34,High Power,1
35,High Power,1
36,High Power,1
37,High Power,1
38,High Power,1
39,High Power,1
40,High Power,1
41,High Power,1
42,High Power,1
43,High Power,1
44,High Power,1
45,High Power,1
46,High Power,1
47,High Power,1
48,High Power,1
49,High Power,0
50,High Power,0
51,High Power,0
52,High Power,0
53,High Power,0
54,High Power,0
55,High Power,0
56,High Power,0
57,High Power,0
58,High Power,0
59,High Power,0
60,High Power,0
61,High Power,0
62,High Power,0
63,High Power,0
64,High Power,0
65,High Power,0
66,High Power,0
67,High Power,0
68,High Power,0
69,High Power,0
70,High Power,0
71,High Power,0
72,High Power,0
73,High Power,0
74,High Power,0
75,High Power,0
76,High Power,0
77,High Power,0
78,High Power,0
79,High Power,0
80,High Power,0
81,High Power,0
82,High Power,0
83,High Power,0
84,High Power,0
85,High Power,0
86,High Power,0
87,High Power,0
88,High Power,0
89,High Power,0
90,High Power,0
91,High Power,0
92,High Power,0
93,High Power,0
94,High Power,0
95,High Power,0
96,High Power,0
97,High Power,0
98,High Power,0
99,High Power,0
100,High Power,0
101,High Power,0
102,High Power,0
103,High Power,0
104,High Power,0
105,High Power,0
1,Low Power,1
2,Low Power,1
3,Low Power,1
4,Low Power,1
5,Low Power,1
6,Low Power,1
7,Low Power,1
8,Low Power,1
9,Low Power,1
10,Low Power,1
11,Low Power,1
12,Low Power,1
13,Low Power,1
14,Low Power,1
15,Low Power,1
16,Low Power,1
17,Low Power,1
18,Low Power,1
19,Low Power,1
20,Low Power,1
21,Low Power,1
22,Low Power,1
23,Low Power,1
24,Low Power,1
25,Low Power,1
26,Low Power,1
27,Low Power,1
28,Low Power,1
29,Low Power,1
30,Low Power,1
31,Low Power,1
32,Low Power,1
33,Low Power,1
34,Low Power,0
35,Low Power,0
36,Low Power,0
37,Low Power,0
38,Low Power,0
39,Low Power,0
40,Low Power,0
41,Low Power,0
42,Low Power,0
43,Low Power,0
44,Low Power,0
45,Low Power,0
46,Low Power,0
47,Low Power,0
48,Low Power,0
49,Low Power,0
50,Low Power,0
51,Low Power,0
52,Low Power,0
53,Low Power,0
54,Low Power,0
55,Low Power,0
56,Low Power,0
57,Low Power,0
58,Low Power,0
59,Low Power,0
60,Low Power,0
61,Low Power,0
62,Low Power,0
63,Low Power,0
64,Low Power,0
65,Low Power,0
66,Low Power,0
67,Low Power,0
68,Low Power,0
69,Low Power,0
70,Low Power,0
71,Low Power,0
72,Low Power,0
73,Low Power,0
74,Low Power,0
75,Low Power,0
76,Low Power,0
77,Low Power,0
78,Low Power,0
79,Low Power,0
80,Low Power,0
81,Low Power,0
82,Low Power,0
83,Low Power,0
84,Low Power,0
85,Low Power,0
86,Low Power,0
87,Low Power,0
88,Low Power,0
89,Low Power,0
90,Low Power,0
91,Low Power,0
92,Low Power,0
93,Low Power,0
94,Low Power,0
95,Low Power,0
96,Low Power,0
97,Low Power,0
98,Low Power,0
99,Low Power,0
100,Low Power,0
101,Low Power,0
